Income,Credit_Score,Loan_Amount,DTI_Ratio,Employment_Status,Approval
26556,581,8314,79.26,employed,Rejected
197392,389,111604,22.14,employed,Rejected
44561,523,34118,45.44,employed,Rejected
190363,729,118757,10.22,unemployed,Rejected
61853,732,19210,44.13,employed,Approved
108236,404,50797,10.24,employed,Rejected
110165,570,61217,7.12,employed,Approved
40656,600,21267,113.63,unemployed,Rejected
38233,346,8467,126.42,unemployed,Rejected
81024,403,19217,36.92,unemployed,Rejected
62638,679,14730,45.15,unemployed,Rejected
179680,475,65175,22.26,employed,Rejected
119471,576,91198,39.29,employed,Rejected
34663,534,27379,20.49,unemployed,Rejected
90186,367,42245,20.87,employed,Rejected
123712,769,35718,11.61,employed,Approved
167159,569,113311,25.91,unemployed,Rejected
77493,441,33343,49.54,employed,Rejected
48743,456,11484,94.62,unemployed,Rejected
120864,690,62348,36.45,unemployed,Rejected
198332,417,141763,25.05,unemployed,Rejected
49242,600,11365,68.02,unemployed,Rejected
89045,812,67542,18.76,employed,Rejected
187496,819,53143,23.95,employed,Approved
62349,843,40252,8.08,unemployed,Rejected
25105,414,11076,114.67,employed,Rejected
83143,380,48966,12.76,unemployed,Rejected
159645,428,87474,8.4,unemployed,Rejected
89483,840,56461,50.01,employed,Rejected
72730,619,45019,42.83,unemployed,Rejected
155679,762,33493,8.31,employed,Approved
108627,321,73603,40.1,employed,Rejected
21885,372,2929,211.83,employed,Rejected
28234,638,17847,34.15,employed,Rejected
195368,797,142356,9.75,employed,Rejected
83700,784,25957,37.85,employed,Approved
192748,741,112038,14.64,unemployed,Rejected
34200,400,14193,26.23,unemployed,Rejected
85183,496,59800,20.5,employed,Rejected
68100,585,17371,51.86,employed,Rejected
164264,400,86477,5.06,employed,Rejected
81965,470,32826,38.59,unemployed,Rejected
125130,360,50672,12.62,employed,Rejected
89521,765,56444,26.47,unemployed,Rejected
69780,603,4832,27.61,employed,Approved
34985,351,16623,123.72,employed,Rejected
153124,382,9981,11.22,employed,Rejected
125847,422,33271,33.64,employed,Rejected
129897,835,35179,19.81,employed,Approved
82570,571,9577,37.47,unemployed,Rejected
102883,374,61068,5.45,employed,Rejected
160937,518,35760,23.71,employed,Rejected
38033,550,10338,76.82,employed,Rejected
162401,609,106788,27.76,employed,Rejected
193903,406,70328,7.12,employed,Rejected
165024,459,37930,13.85,employed,Rejected
73371,570,33016,51.96,unemployed,Rejected
44195,733,3889,52.34,employed,Rejected
54293,568,29956,28.71,unemployed,Rejected
49327,377,36755,29.94,employed,Rejected
172701,451,34409,19.2,employed,Rejected
115591,340,28535,24.61,employed,Rejected
112714,716,21257,40.52,employed,Approved
66413,722,12754,9.97,unemployed,Rejected
195612,554,42732,11.49,employed,Approved
30151,781,7539,64.93,unemployed,Rejected
100003,533,4101,19.61,employed,Rejected
106051,585,37585,9,unemployed,Rejected
124773,849,4617,21.4,employed,Approved
66810,571,8104,11.24,unemployed,Rejected
102228,746,68033,43.75,employed,Rejected
171149,494,12635,12.67,unemployed,Rejected
156293,501,57531,18.47,employed,Rejected
183356,621,33669,26.44,unemployed,Rejected
101077,718,53743,26.09,unemployed,Rejected
70289,730,25847,69.11,employed,Rejected
126450,300,38606,19.7,employed,Rejected
172039,629,116811,20.62,unemployed,Rejected
154001,784,87356,10.47,employed,Approved
155122,643,108272,7.17,employed,Rejected
78888,503,2600,18.58,employed,Rejected
144554,374,55321,24.11,employed,Rejected
149598,709,20342,14.03,employed,Approved
131449,524,92214,12.57,unemployed,Rejected
166120,555,120658,7.8,employed,Rejected
195001,843,84177,21.35,unemployed,Rejected
131867,756,98472,11.7,unemployed,Rejected
87945,553,37347,53.2,unemployed,Rejected
91984,750,38450,10.96,employed,Approved
108040,627,11561,37.39,employed,Approved
80623,692,47295,18.62,employed,Approved
128755,717,72121,20.72,unemployed,Rejected
36322,511,13762,89.57,employed,Rejected
145037,306,40139,19.34,unemployed,Rejected
161091,525,29760,22.97,unemployed,Rejected
147308,329,45057,20.69,unemployed,Rejected
142523,430,71008,32.12,employed,Rejected
175161,327,113358,6,employed,Rejected
67639,351,25844,32.6,unemployed,Rejected
139196,634,100775,19.48,unemployed,Rejected
130510,558,62644,7.94,employed,Approved
33653,658,22303,58.52,employed,Rejected
28134,553,1667,64.21,employed,Rejected
53088,784,8496,92.06,employed,Rejected
87172,677,16012,18.35,employed,Approved
48337,326,25596,52.64,unemployed,Rejected
39922,548,23845,29.25,unemployed,Rejected
168355,342,113296,16.49,unemployed,Rejected
152634,649,112355,3.82,unemployed,Rejected
47666,743,31129,60.29,employed,Rejected
66173,834,18700,71.97,unemployed,Rejected
134183,574,33177,19.47,employed,Approved
138175,549,75691,25.66,unemployed,Rejected
27523,806,6958,95.56,unemployed,Rejected
113015,564,37655,24.16,unemployed,Rejected
155430,495,32635,6.83,unemployed,Rejected
165536,546,129665,21.87,unemployed,Rejected
44393,601,27502,43.98,employed,Rejected
194053,677,146089,18.56,unemployed,Rejected
164281,638,93124,17.08,unemployed,Rejected
100379,557,16814,20.03,employed,Approved
51340,848,13552,33.37,employed,Approved
92482,837,38093,47.7,employed,Approved
97659,532,24519,29.34,unemployed,Rejected
160020,429,6965,14.36,employed,Rejected
53103,802,1803,22.08,unemployed,Rejected
145492,751,25164,18.78,employed,Approved
145233,416,53521,6.39,unemployed,Rejected
171262,354,40111,8.73,unemployed,Rejected
85061,421,55548,48.87,employed,Rejected
119713,761,39974,28.41,unemployed,Rejected
169062,361,27013,26.59,employed,Rejected
89375,383,32439,17.11,employed,Rejected
61034,302,30524,52.06,unemployed,Rejected
28556,537,10264,83.63,unemployed,Rejected
81190,570,39652,56.61,employed,Rejected
50087,530,10764,94.72,unemployed,Rejected
38719,361,26972,41,unemployed,Rejected
135121,427,91266,26.43,unemployed,Rejected
91367,812,65722,44.2,unemployed,Rejected
176771,340,85494,18.85,unemployed,Rejected
43940,534,2359,111.95,unemployed,Rejected
65925,781,43697,59.17,unemployed,Rejected
67576,746,33225,68.96,employed,Rejected
111215,718,43081,24.14,employed,Approved
106456,721,38777,35.2,unemployed,Rejected
139229,390,34082,18.4,unemployed,Rejected
125952,826,87200,4.03,unemployed,Rejected
34209,492,12854,113.93,unemployed,Rejected
33529,508,18996,67.11,employed,Rejected
134849,796,4783,9.61,employed,Approved
