Income,Credit_Score,Loan_Amount,DTI_Ratio,Employment_Status,Approval
26556.000000,581,8314.000000,79.260000,1,0
197392.000000,389,111604.000000,22.140000,1,0
44561.000000,523,34118.000000,45.440000,1,0
190363.000000,729,118757.000000,10.220000,0,0
61853.000000,732,19210.000000,44.130000,1,1
108236.000000,404,50797.000000,10.240000,1,0
110165.000000,570,61217.000000,7.120000,1,1
40656.000000,600,21267.000000,113.630000,0,0
38233.000000,346,8467.000000,126.420000,0,0
81024.000000,403,19217.000000,36.920000,0,0
62638.000000,679,14730.000000,45.150000,0,0
179680.000000,475,65175.000000,22.260000,1,0
119471.000000,576,91198.000000,39.290000,1,0
34663.000000,534,27379.000000,20.490000,0,0
90186.000000,367,42245.000000,20.870000,1,0
123712.000000,769,35718.000000,11.610000,1,1
167159.000000,569,113311.000000,25.910000,0,0
77493.000000,441,33343.000000,49.540000,1,0
48743.000000,456,11484.000000,94.620000,0,0
120864.000000,690,62348.000000,36.450000,0,0
198332.000000,417,141763.000000,25.050000,0,0
49242.000000,600,11365.000000,68.020000,0,0
89045.000000,812,67542.000000,18.760000,1,0
187496.000000,819,53143.000000,23.950000,1,1
62349.000000,843,40252.000000,8.080000,0,0
25105.000000,414,11076.000000,114.670000,1,0
83143.000000,380,48966.000000,12.760000,0,0
159645.000000,428,87474.000000,8.400000,0,0
89483.000000,840,56461.000000,50.010000,1,0
72730.000000,619,45019.000000,42.830000,0,0
155679.000000,762,33493.000000,8.310000,1,1
108627.000000,321,73603.000000,40.100000,1,0
21885.000000,372,2929.000000,211.830000,1,0
28234.000000,638,17847.000000,34.150000,1,0
195368.000000,797,142356.000000,9.750000,1,0
83700.000000,784,25957.000000,37.850000,1,1
192748.000000,741,112038.000000,14.640000,0,0
34200.000000,400,14193.000000,26.230000,0,0
85183.000000,496,59800.000000,20.500000,1,0
68100.000000,585,17371.000000,51.860000,1,0
164264.000000,400,86477.000000,5.060000,1,0
81965.000000,470,32826.000000,38.590000,0,0
125130.000000,360,50672.000000,12.620000,1,0
89521.000000,765,56444.000000,26.470000,0,0
69780.000000,603,4832.000000,27.610000,1,1
34985.000000,351,16623.000000,123.720000,1,0
153124.000000,382,9981.000000,11.220000,1,0
125847.000000,422,33271.000000,33.640000,1,0
129897.000000,835,35179.000000,19.810000,1,1
